track_name,track_id,duration_ms,artist_name,album_name,album_release_date,popularity,played_at,explicit
Tutankamon,2Pve7muUYsaynWb9hL8CMb,144000,Victor Mendivil,Tutankamon,2025-07-24,79,2025-10-09T21:38:18.240Z,True
P.V.,24jE1QNIeA9HH3WOaGjE9s,243496,Victor Mendivil,Tutankamon,2025-07-24,77,2025-10-09T21:35:54.800Z,True
Without Me,6FZDfxM3a3UCqtzo5pxSLZ,201660,Halsey,Manic,2020-01-17,83,2025-10-09T21:29:34.304Z,True
Something Just Like This,6RUKPb4LETWmmr3iAEQktW,247160,The Chainsmokers,Memories...Do Not Open,2017-04-07,87,2025-10-09T21:26:25.828Z,False
Closer,7BKLCZ1jbUBVqRi2FVlTVw,244960,The Chainsmokers,Closer,2016-07-29,86,2025-10-09T21:21:34.383Z,False
Worth It (feat. Kid Ink),41Fflg7qHiVOD6dEPvsCzO,224573,Fifth Harmony,Reflection (Deluxe),2015-01-30,78,2025-10-09T21:11:51.856Z,False
Symphony (feat. Zara Larsson),72gv4zhNvRVdQA0eOenCal,212733,Clean Bandit,What Is Love? (Deluxe Edition),2018-11-30,78,2025-10-09T21:07:26.997Z,False
"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,251466,G-Eazy,When It's Dark Out,2015-12-04,79,2025-10-09T21:01:45.445Z,True
"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,251466,G-Eazy,When It's Dark Out,2015-12-04,79,2025-10-09T20:58:23.969Z,True
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,220883,Martin Garrix,Scared to Be Lonely,2017-01-27,77,2025-10-09T20:57:32.094Z,False
Sugar,2iuZJX9X9P0GKaE93xcPjk,235493,Maroon 5,V,2014-09-02,81,2025-10-09T20:53:19.277Z,True
TU VAS SIN (fav),6uiQ0DqbXTBc8tl0AUKZkR,110495,Rels B,afroLOVA 25',2025-06-20,91,2025-10-09T20:49:19.574Z,False
